date,Month,Year,day,Hour,coffee_name,cash_type,card,money
2024-03-01,3,2024,5,10,Latte,card,ANON-0000-0000-0001,38.7
2024-03-01,3,2024,5,12,Hot Chocolate,card,ANON-0000-0000-0002,38.7
2024-03-01,3,2024,5,12,Hot Chocolate,card,ANON-0000-0000-0002,38.7
2024-03-01,3,2024,5,13,Americano,card,ANON-0000-0000-0003,28.9
2024-03-01,3,2024,5,13,Latte,card,ANON-0000-0000-0004,38.7
2024-03-01,3,2024,5,15,Americano with Milk,card,ANON-0000-0000-0005,33.8
2024-03-01,3,2024,5,16,Hot Chocolate,card,ANON-0000-0000-0006,38.7
2024-03-01,3,2024,5,18,Americano with Milk,card,ANON-0000-0000-0007,33.8
2024-03-01,3,2024,5,19,Cocoa,card,ANON-0000-0000-0008,38.7
2024-03-01,3,2024,5,19,Americano with Milk,card,ANON-0000-0000-0008,33.8
2024-03-01,3,2024,5,19,Americano with Milk,card,ANON-0000-0000-0009,33.8
2024-03-02,3,2024,6,10,Americano,card,ANON-0000-0000-0010,28.9
2024-03-02,3,2024,6,10,Latte,cash,ANON-0000-0000-0012,40.0
2024-03-02,3,2024,6,10,Americano with Milk,card,ANON-0000-0000-0011,33.8
2024-03-02,3,2024,6,11,Americano with Milk,card,ANON-0000-0000-0012,33.8
2024-03-02,3,2024,6,14,Americano,card,ANON-0000-0000-0013,28.9
2024-03-02,3,2024,6,16,Americano with Milk,card,ANON-0000-0000-0014,33.8
2024-03-02,3,2024,6,17,Americano,card,ANON-0000-0000-0004,28.9
2024-03-03,3,2024,0,10,Latte,cash,ANON-0000-0000-0012,40.0
2024-03-03,3,2024,0,10,Latte,card,ANON-0000-0000-0015,38.7
2024-03-03,3,2024,0,11,Cortado,card,ANON-0000-0000-0016,28.9
2024-03-03,3,2024,0,12,Americano,card,ANON-0000-0000-0012,28.9
2024-03-03,3,2024,0,13,Hot Chocolate,card,ANON-0000-0000-0017,38.7
2024-03-03,3,2024,0,17,Cocoa,card,ANON-0000-0000-0018,38.7
2024-03-03,3,2024,0,17,Cortado,card,ANON-0000-0000-0019,28.9
2024-03-03,3,2024,0,18,Americano with Milk,card,ANON-0000-0000-0020,33.8
2024-03-03,3,2024,0,18,Americano with Milk,card,ANON-0000-0000-0020,33.8
2024-03-03,3,2024,0,18,Hot Chocolate,card,ANON-0000-0000-0020,38.7
2024-03-04,3,2024,1,10,Latte,card,ANON-0000-0000-0001,38.7
2024-03-04,3,2024,1,10,Latte,card,ANON-0000-0000-0021,38.7
2024-03-04,3,2024,1,11,Americano with Milk,card,ANON-0000-0000-0012,33.8
2024-03-04,3,2024,1,14,Espresso,card,ANON-0000-0000-0022,24.0
2024-03-05,3,2024,2,9,Latte,card,ANON-0000-0000-0001,38.7
2024-03-05,3,2024,2,14,Latte,card,ANON-0000-0000-0023,38.7
2024-03-05,3,2024,2,17,Latte,card,ANON-0000-0000-0024,38.7
2024-03-05,3,2024,2,17,Hot Chocolate,card,ANON-0000-0000-0025,38.7
2024-03-05,3,2024,2,17,Cocoa,card,ANON-0000-0000-0026,38.7
2024-03-05,3,2024,2,17,Hot Chocolate,card,ANON-0000-0000-0027,38.7
2024-03-05,3,2024,2,17,Hot Chocolate,card,ANON-0000-0000-0009,38.7
2024-03-05,3,2024,2,17,Cortado,card,ANON-0000-0000-0028,28.9
2024-03-05,3,2024,2,18,Hot Chocolate,card,ANON-0000-0000-0028,38.7
2024-03-06,3,2024,3,12,Americano with Milk,cash,ANON-0000-0000-0012,35.0
2024-03-06,3,2024,3,13,Americano,card,ANON-0000-0000-0012,28.9
2024-03-06,3,2024,3,13,Cortado,card,ANON-0000-0000-0012,28.9
2024-03-06,3,2024,3,14,Cappuccino,card,ANON-0000-0000-0029,38.7
2024-03-06,3,2024,3,14,Cappuccino,card,ANON-0000-0000-0029,38.7
2024-03-07,3,2024,4,10,Latte,cash,ANON-0000-0000-0012,40.0
2024-03-07,3,2024,4,10,Hot Chocolate,card,ANON-0000-0000-0030,38.7
2024-03-07,3,2024,4,11,Latte,card,ANON-0000-0000-0031,38.7
2024-03-07,3,2024,4,11,Latte,cash,ANON-0000-0000-0012,40.0
2024-03-07,3,2024,4,15,Americano,card,ANON-0000-0000-0032,28.9
2024-03-07,3,2024,4,15,Americano with Milk,card,ANON-0000-0000-0033,33.8
2024-03-08,3,2024,5,10,Cortado,card,ANON-0000-0000-0012,28.9
2024-03-08,3,2024,5,12,Cappuccino,card,ANON-0000-0000-0034,38.7
2024-03-08,3,2024,5,13,Americano,card,ANON-0000-0000-0035,28.9
2024-03-08,3,2024,5,14,Americano,card,ANON-0000-0000-0012,28.9
2024-03-08,3,2024,5,14,Americano,card,ANON-0000-0000-0033,28.9
2024-03-08,3,2024,5,14,Americano with Milk,card,ANON-0000-0000-0012,33.8
2024-03-08,3,2024,5,18,Latte,card,ANON-0000-0000-0036,38.7
